"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
201,216,205,198,204,210,184,221,196,198,195,207,217,196,202,228,193,227,217,217,209,203,184,200,190,181,220,224,203,196,226,184,199,206,219,223,199,205,188,200
1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
0.130519480519481,0.14025974025974,0.133116883116883,0.128571428571429,0.132467532467532,0.136363636363636,0.119480519480519,0.143506493506494,0.127272727272727,0.128571428571429,0.126623376623377,0.134415584415584,0.140909090909091,0.127272727272727,0.131168831168831,0.148051948051948,0.125324675324675,0.147402597402597,0.140909090909091,0.140909090909091,0.135714285714286,0.131818181818182,0.119480519480519,0.12987012987013,0.123376623376623,0.117532467532468,0.142857142857143,0.145454545454545,0.131818181818182,0.127272727272727,0.146753246753247,0.119480519480519,0.129220779220779,0.133766233766234,0.142207792207792,0.144805194805195,0.129220779220779,0.133116883116883,0.122077922077922,0.12987012987013
7.17857142857143,7.71428571428571,7.32142857142857,7.07142857142857,7.28571428571429,7.5,6.57142857142857,7.89285714285714,7,7.07142857142857,6.96428571428571,7.39285714285714,7.75,7,7.21428571428571,8.14285714285714,6.89285714285714,8.10714285714286,7.75,7.75,7.46428571428571,7.25,6.57142857142857,7.14285714285714,6.78571428571429,6.46428571428571,7.85714285714286,8,7.25,7,8.07142857142857,6.57142857142857,7.10714285714286,7.35714285714286,7.82142857142857,7.96428571428571,7.10714285714286,7.32142857142857,6.71428571428571,7.14285714285714
2.1834679909567,2.54211283430489,2.49440933330476,2.26320081346705,2.59870097418821,2.5298221281347,2.46323617778167,2.56322645705171,2.54415551268535,2.66872215153206,2.31959468022314,2.74808079429045,2.60244640150902,2.47900273203854,2.57056262475595,2.1185635908114,2.63320455600514,2.25371266562993,2.86832228441518,2.5743489909631,2.48606505959106,2.53161823920806,2.36533405564736,2.36203742121516,2.3565327821286,2.29595918331066,2.56854094719212,2.40454115827078,2.45875060659973,2.4936282437809,2.54313437858334,2.18138523843029,2.41720026949716,2.43779760088018,2.45769398832722,2.24794278246728,2.50583734093432,2.43539911126879,2.85220352272851,2.23548710517475
0.135469774217043,0.136363636363636,0.139059304703476,0.118391660461653,0.134877384196185,0.132381570408825,0.118288590604027,0.160211267605634,0.157311669128508,0.120171673819742,0.135011441647597,0.139124755062051,0.143549364021805,0.104832713754647,0.139874739039666,0.133561643835616,0.135542168674699,0.109526525955505,0.15257244234181,0.100182149362477,0.128205128205128,0.112110726643599,0.111959287531807,0.123733719247467,0.11741214057508,0.0873015873015873,0.138461538461538,0.138969310943833,0.129616724738676,0.122494432071269,0.165540540540541,0.11159169550173,0.0959302325581395,0.124236252545825,0.146385542168675,0.141843971631206,0.112391930835735,0.162440027416038,0.140986132511556,0.125183016105417
0.140005827505827,0.143391033569605,0.145992499563928,0.134458101422387,0.1441045822864,0.126519159852493,0.121075691984783,0.175957475064618,0.160388298570117,0.103524758070213,0.133170995670996,0.165546171000716,0.139829020186163,0.125596020141475,0.134881983096269,0.123332421546707,0.1335384853242,0.110774939346368,0.147725687011401,0.104316120387549,0.121657905586477,0.103857452071738,0.113391568748712,0.123126065853339,0.10688442870261,0.0895582812249479,0.138961038961039,0.137457185671471,0.130840472658654,0.12629612451041,0.167601049743907,0.108812615955473,0.106094203415632,0.113379576772434,0.138467584003298,0.147070191713049,0.0994697221969949,0.166841643205279,0.156035014368348,0.11414319807177
2.22987012987013,2.14805194805195,2.22402597402597,2.23181818181818,2.21818181818182,4.06883116883117,4.19935064935065,2.16818181818182,2.25649350649351,2.2461038961039,2.23896103896104,2.20779220779221,2.16493506493507,2.23441558441558,2.25194805194805,2.10324675324675,2.25064935064935,2.10194805194805,2.17597402597403,2.12597402597403,2.17857142857143,2.22272727272727,2.31168831168831,2.22857142857143,2.28831168831169,2.32272727272727,2.13506493506494,2.13961038961039,4.08896103896104,2.24285714285714,2.11883116883117,2.32857142857143,2.21168831168831,2.20064935064935,2.13116883116883,2.13636363636364,2.25324675324675,2.23051948051948,2.28831168831169,2.23636363636364
33.8214285714286,31.5714285714286,33.6607142857143,33.875,33.5,30.375,33.9642857142857,32.125,34.5535714285714,34.2678571428571,34.0714285714286,33.2142857142857,32.0357142857143,33.9464285714286,34.4285714285714,30.3392857142857,34.3928571428571,30.3035714285714,32.3392857142857,30.9642857142857,32.4107142857143,33.625,36.0714285714286,33.7857142857143,35.4285714285714,36.375,31.2142857142857,31.3392857142857,30.9285714285714,34.1785714285714,30.7678571428571,36.5357142857143,33.3214285714286,33.0178571428571,31.1071428571429,31.25,34.4642857142857,33.8392857142857,35.4285714285714,34
104.242895683608,101.586801030067,125.744172561409,84.5107434232434,104.398982961483,88.6901968200881,101.928953399542,97.1750929250297,173.203611666112,109.654268199121,110.757786451595,110.243556851645,86.1596388475646,114.743061105561,90.0239907452368,72.5815866881656,110.079807181123,72.1394572747514,103.015920392817,110.419822106858,112.978089629669,89.8419553111036,114.174178599179,117.566942926927,94.5303363303363,118.397601010101,87.0866322360131,62.9972698885904,112.87167986812,156.868649412686,98.151021674404,109.164479758288,99.9672556989508,92.735805534335,73.6848651348651,87.9079245973769,110.545084971601,91.8930216841982,128.394429181929,109.342685822949
0.00819361605497421,0.00851913793148947,0.00824575755034079,0.00820040736628101,0.00827621903957363,0.00573879866744977,0.00550810315380841,0.00845372071017599,0.00813403279887892,0.00818089851597606,0.00817587953528589,0.00831142149631682,0.00846481371884959,0.00820001578703038,0.00816742618384305,0.00868689161851503,0.00814391654558604,0.00869707194898679,0.00842598739917121,0.00860295349612811,0.00840012975416707,0.00825668152915229,0.00793704984570701,0.00822385904442636,0.00801657896398963,0.00790233610316802,0.0085835898320215,0.00855468711115488,0.00569763684730432,0.00816921286309053,0.00863460664057914,0.00788911272678611,0.00827478370486101,0.00832114014872491,0.00858908571870917,0.0085527335166924,0.00815896414359358,0.00821953466411645,0.00803025604513968,0.00818584552699813
