"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
19,20,13,17,16,21,16,16,13,11,17,15,13,16,20,7,6,20,13,21,15,11,20,12,13,22,13,12,20,16,16,19,17,12,13,19,18,9,17,19
1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,4,5,1,1,1,1,3,1,3,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1
0.345454545454545,0.363636363636364,0.236363636363636,0.309090909090909,0.290909090909091,0.381818181818182,0.290909090909091,0.290909090909091,0.236363636363636,0.2,0.309090909090909,0.272727272727273,0.236363636363636,0.290909090909091,0.363636363636364,0.127272727272727,0.109090909090909,0.363636363636364,0.236363636363636,0.381818181818182,0.272727272727273,0.2,0.363636363636364,0.218181818181818,0.236363636363636,0.4,0.236363636363636,0.218181818181818,0.363636363636364,0.290909090909091,0.290909090909091,0.345454545454545,0.309090909090909,0.218181818181818,0.236363636363636,0.345454545454545,0.327272727272727,0.163636363636364,0.309090909090909,0.345454545454545
3.45454545454545,3.63636363636364,2.36363636363636,3.09090909090909,2.90909090909091,3.81818181818182,2.90909090909091,2.90909090909091,2.36363636363636,2,3.09090909090909,2.72727272727273,2.36363636363636,2.90909090909091,3.63636363636364,1.27272727272727,1.09090909090909,3.63636363636364,2.36363636363636,3.81818181818182,2.72727272727273,2,3.63636363636364,2.18181818181818,2.36363636363636,4,2.36363636363636,2.18181818181818,3.63636363636364,2.90909090909091,2.90909090909091,3.45454545454545,3.09090909090909,2.18181818181818,2.36363636363636,3.45454545454545,3.27272727272727,1.63636363636364,3.09090909090909,3.45454545454545
1.50755672288882,1.74772579501061,1.2862913567872,1.13618180363404,1.13618180363404,1.99088833530069,0.943879807448539,1.37510330190466,1.20604537831105,1,1.70026735865542,1.42062726222673,1.12006493318265,0.943879807448539,1.56669890360128,1.1908743922773,0.943879807448539,1.43336856898198,0.924416277737175,1.16774841624228,1.1037127426019,1.4142135623731,1.5015143870591,1.40129809949074,1.5015143870591,1.89736659610103,1.5015143870591,1.07871977994119,1.43336856898198,1.64039906452945,1.300349603341,1.36847625946791,1.13618180363404,0.873862897505303,1.12006493318265,1.29333958136573,1.42062726222673,0.80903983495589,1.70026735865542,1.50755672288882
0.258620689655172,0.441176470588235,0.230769230769231,0.285714285714286,0.243243243243243,0.455696202531646,0.257142857142857,0.375,0.24,0.375,0.42,0.25,0.375,0.257142857142857,0.323076923076923,0,0,0.333333333333333,0.272727272727273,0.272727272727273,0.1875,0.285714285714286,0.234375,0.375,0.206896551724138,0.535714285714286,0.103448275862069,0.15,0.333333333333333,0.272727272727273,0.307692307692308,0.214285714285714,0.0714285714285714,0.166666666666667,0.25,0.327272727272727,0.235294117647059,0,0.24,0.362068965517241
0.183333333333333,0.522142857142857,0.219047619047619,0.236666666666667,0.222222222222222,0.514814814814815,0.266666666666667,0.446666666666667,0.240740740740741,0.416666666666667,0.507407407407407,0.2,0.52962962962963,0.3,0.276666666666667,0,0,0.363636363636364,0.366666666666667,0.233333333333333,0.266666666666667,0.333333333333333,0.236666666666667,0.291666666666667,0.322222222222222,0.597354497354497,0.104761904761905,0.0925925925925926,0.381818181818182,0.233333333333333,0.42,0.26,0.06,0.259259259259259,0.244444444444444,0.239393939393939,0.263333333333333,0,0.396296296296296,0.39047619047619
1.78181818181818,1.83636363636364,2.30909090909091,2.03636363636364,2.07272727272727,3.32727272727273,2.09090909090909,3.52727272727273,3.74545454545455,4.27272727272727,3.49090909090909,2.16363636363636,2.61818181818182,2.14545454545455,1.83636363636364,6.61818181818182,8.38181818181818,1.8,2.63636363636364,1.69090909090909,2.07272727272727,5.10909090909091,1.74545454545455,5.29090909090909,2.25454545454545,1.76363636363636,2.18181818181818,4.18181818181818,1.78181818181818,3.50909090909091,2.03636363636364,1.81818181818182,1.92727272727273,3.21818181818182,2.38181818181818,1.89090909090909,3.43636363636364,6.09090909090909,1.90909090909091,1.85454545454545
3.90909090909091,4.18181818181818,6.54545454545455,5.18181818181818,5.36363636363636,2.54545454545455,5.45454545454545,3.54545454545454,4.63636363636364,7.27272727272727,3.36363636363636,5.81818181818182,8.09090909090909,5.72727272727273,4.18181818181818,3.54545454545455,1.45454545454545,4,8.18181818181818,3.45454545454545,5.36363636363636,3.27272727272727,3.72727272727273,4.18181818181818,6.27272727272727,3.81818181818182,5.90909090909091,6.81818181818182,3.90909090909091,3.45454545454545,5.18181818181818,4.09090909090909,4.63636363636364,11.0909090909091,6.90909090909091,4.45454545454545,3.09090909090909,3.63636363636364,4.54545454545454,4.27272727272727
