"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes"," 40.000"," 40.000","0.000"," 40.000","0.000"
"Number of links","238.000","239.000","1.000","235.725","2.275"
"Number of Components","  1.000","  1.000","0.000","  1.000","0.000"
"Network density","  0.305","  0.306","0.001","  0.302","0.003"
"Degree average"," 11.900"," 11.950","0.050"," 11.786","0.114"
"Degree std.dev.","  4.477","  3.402","1.075","  2.816","1.661"
"Cluster Coefficient","  0.409","  0.314","0.095","  0.300","0.109"
"Avg. Cluster Coefficient","  0.430","  0.318","0.112","  0.304","0.126"
"Mean path length","  1.764","  1.716","0.048","  1.716","0.048"
"Avg.Betweeness"," 14.900"," 13.961","0.939"," 13.959","0.941"
"Max.Betweeness"," 46.128"," 42.695","3.433"," 36.903","9.226"
"Avg.Closeness","  0.015","  0.015","0.000","  0.015","0.000"
"Min.Closeness","  0.010","  0.013","0.002","  0.013","0.003"
"Avg.Eigencentrality","  0.583","  0.618","0.035","  0.647","0.065"
"Network radius","  2.000","  2.000","0.000","  2.000","0.000"
"    Avg.Eccentricity","  2.825","  2.447","0.378","  2.388","0.437"
"Network diameter","  4.000","  3.025","0.975","  3.000","1.000"
