"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes"," 34.000"," 34.000"," 0.000"," 34.000"," 0.000"
"Number of links","175.000","175.000"," 0.000","174.600"," 0.400"
"Number of Components","  1.000","  1.000"," 0.000","  1.000"," 0.000"
"Network density","  0.312","  0.312"," 0.000","  0.311"," 0.001"
"Degree average"," 10.294"," 10.294"," 0.000"," 10.271"," 0.024"
"Degree std.dev.","  4.629","  2.739"," 1.890","  2.569"," 2.060"
"Cluster Coefficient","  0.476","  0.323"," 0.153","  0.312"," 0.164"
"Avg. Cluster Coefficient","  0.474","  0.323"," 0.151","  0.314"," 0.160"
"Mean path length","  1.807","  1.718"," 0.089","  1.718"," 0.090"
"Avg.Betweeness"," 13.324"," 11.854"," 1.470"," 11.840"," 1.484"
"Max.Betweeness"," 63.291"," 30.684","32.607"," 29.969","33.322"
"Avg.Closeness","  0.017","  0.018"," 0.001","  0.018"," 0.001"
"Min.Closeness","  0.012","  0.015"," 0.003","  0.015"," 0.003"
"Avg.Eigencentrality","  0.527","  0.632"," 0.105","  0.646"," 0.119"
"Network radius","  2.000","  2.000"," 0.000","  2.000"," 0.000"
"    Avg.Eccentricity","  2.882","  2.498"," 0.385","  2.465"," 0.417"
"Network diameter","  4.000","  3.000"," 1.000","  3.000"," 1.000"
