"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes","21.000","21.000","0.000","21.000","0.000"
"Number of links","36.000","36.000","0.000","34.950","1.050"
"Number of Components"," 5.000"," 1.650","3.350"," 1.500","3.500"
"Network density"," 0.171"," 0.171","0.000"," 0.166","0.005"
"Degree average"," 3.429"," 3.429","0.000"," 3.329","0.100"
"Degree std.dev."," 2.135"," 1.783","0.352"," 1.610","0.525"
"Cluster Coefficient"," 0.496"," 0.167","0.330"," 0.166","0.330"
"Avg. Cluster Coefficient"," 0.585"," 0.184","0.401"," 0.183","0.402"
"Mean path length"," 8.976"," 3.589","5.387"," 3.417","5.559"
"Avg.Betweeness"," 9.286","12.894","3.608","14.312","5.026"
"Max.Betweeness","44.667","48.625","3.958","53.610","8.944"
"Avg.Closeness"," 0.007"," 0.017","0.010"," 0.018","0.011"
"Min.Closeness"," 0.002"," 0.008","0.006"," 0.010","0.008"
"Avg.Eigencentrality"," 0.372"," 0.475","0.103"," 0.477","0.106"
"Network radius"," 0.000"," 1.525","1.525"," 1.900","1.900"
"    Avg.Eccentricity"," 3.381"," 3.845","0.464"," 4.052","0.671"
"Network diameter"," 5.000"," 5.000","0.000"," 5.150","0.150"
