"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes","21.000","21.000","0.000","21.000"," 0.000"
"Number of links","14.000","14.000","0.000","15.725"," 1.725"
"Number of Components"," 9.000"," 7.925","1.075"," 6.975"," 2.025"
"Network density"," 0.067"," 0.067","0.000"," 0.075"," 0.008"
"Degree average"," 1.333"," 1.333","0.000"," 1.498"," 0.164"
"Degree std.dev."," 1.390"," 1.134","0.256"," 1.104"," 0.286"
"Cluster Coefficient"," 0.125"," 0.080","0.045"," 0.065"," 0.060"
"Avg. Cluster Coefficient"," 0.158"," 0.095","0.063"," 0.066"," 0.092"
"Mean path length","15.843","15.810","0.033","14.019"," 1.824"
"Avg.Betweeness"," 3.667"," 4.936","1.269"," 8.590"," 4.924"
"Max.Betweeness","22.500","28.975","6.475","34.271","11.771"
"Avg.Closeness"," 0.003"," 0.003","0.000"," 0.004"," 0.001"
"Min.Closeness"," 0.002"," 0.002","0.000"," 0.002"," 0.000"
"Avg.Eigencentrality"," 0.359"," 0.256","0.103"," 0.293"," 0.066"
"Network radius"," 0.000"," 0.000","0.000"," 0.150"," 0.150"
"    Avg.Eccentricity"," 2.333"," 2.836","0.502"," 3.586"," 1.252"
"Network diameter"," 5.000"," 5.700","0.700"," 6.325"," 1.325"
