"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes"," 56.000"," 56.000","  0.000"," 56.000","  0.000"
"Number of links","203.000","203.000","  0.000","201.325","  1.675"
"Number of Components","  2.000","  1.025","  0.975","  1.000","  1.000"
"Network density","  0.132","  0.132","  0.000","  0.131","  0.001"
"Degree average","  7.250","  7.250","  0.000","  7.190","  0.060"
"Degree std.dev.","  4.179","  2.628","  1.551","  2.433","  1.746"
"Cluster Coefficient","  0.350","  0.136","  0.214","  0.126","  0.224"
"Avg. Cluster Coefficient","  0.424","  0.138","  0.287","  0.128","  0.297"
"Mean path length","  4.285","  2.270","  2.015","  2.219","  2.066"
"Avg.Betweeness"," 36.321"," 33.575","  2.746"," 33.528","  2.793"
"Max.Betweeness","262.141","114.992","147.149","108.710","153.431"
"Avg.Closeness","  0.005","  0.008","  0.003","  0.008","  0.003"
"Min.Closeness","  0.000","  0.006","  0.006","  0.007","  0.006"
"Avg.Eigencentrality","  0.310","  0.494","  0.184","  0.512","  0.202"
"Network radius","  0.000","  2.925","  2.925","  3.000","  3.000"
"    Avg.Eccentricity","  3.661","  3.367","  0.294","  3.283","  0.377"
"Network diameter","  5.000","  4.100","  0.900","  4.050","  0.950"
