"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes"," 56.000"," 56.000"," 0.000"," 56.000"," 0.000"
"Number of links","387.000","387.000"," 0.000","383.350"," 3.650"
"Number of Components","  1.000","  1.000"," 0.000","  1.000"," 0.000"
"Network density","  0.251","  0.251"," 0.000","  0.249"," 0.002"
"Degree average"," 13.821"," 13.821"," 0.000"," 13.691"," 0.130"
"Degree std.dev.","  5.198","  3.488"," 1.710","  3.091"," 2.107"
"Cluster Coefficient","  0.493","  0.260"," 0.233","  0.247"," 0.246"
"Avg. Cluster Coefficient","  0.560","  0.260"," 0.300","  0.248"," 0.311"
"Mean path length","  1.901","  1.775"," 0.126","  1.773"," 0.128"
"Avg.Betweeness"," 24.768"," 21.315"," 3.453"," 21.258"," 3.509"
"Max.Betweeness","116.325"," 57.978","58.347"," 54.172","62.153"
"Avg.Closeness","  0.010","  0.010"," 0.001","  0.010"," 0.001"
"Min.Closeness","  0.008","  0.009"," 0.001","  0.009"," 0.002"
"Avg.Eigencentrality","  0.517","  0.615"," 0.099","  0.643"," 0.127"
"Network radius","  2.000","  2.000"," 0.000","  2.000"," 0.000"
"    Avg.Eccentricity","  2.893","  2.608"," 0.285","  2.561"," 0.332"
"Network diameter","  3.000","  3.000"," 0.000","  3.000"," 0.000"
