"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes"," 71.000"," 71.000"," 0.000"," 71.000"," 0.000"
"Number of links","726.000","726.000"," 0.000","720.125"," 5.875"
"Number of Components","  1.000","  1.000"," 0.000","  1.000"," 0.000"
"Network density","  0.292","  0.292"," 0.000","  0.290"," 0.002"
"Degree average"," 20.451"," 20.451"," 0.000"," 20.285"," 0.165"
"Degree std.dev.","  8.095","  3.914"," 4.181","  3.700"," 4.396"
"Cluster Coefficient","  0.441","  0.297"," 0.144","  0.289"," 0.152"
"Avg. Cluster Coefficient","  0.449","  0.298"," 0.152","  0.289"," 0.161"
"Mean path length","  1.751","  1.710"," 0.042","  1.712"," 0.039"
"Avg.Betweeness"," 26.296"," 24.842"," 1.454"," 24.918"," 1.378"
"Max.Betweeness","106.694"," 55.046","51.648"," 53.647","53.046"
"Avg.Closeness","  0.008","  0.008"," 0.000","  0.008"," 0.000"
"Min.Closeness","  0.006","  0.008"," 0.001","  0.008"," 0.001"
"Avg.Eigencentrality","  0.448","  0.688"," 0.240","  0.688"," 0.240"
"Network radius","  2.000","  2.000"," 0.000","  2.000"," 0.000"
"    Avg.Eccentricity","  2.746","  2.109"," 0.638","  2.094"," 0.652"
"Network diameter","  3.000","  3.000"," 0.000","  2.950"," 0.050"
