"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes","14.000","14.000"," 0.000","14.000","0.000"
"Number of links","13.000","13.000"," 0.000","12.825","0.175"
"Number of Components"," 6.000"," 2.950"," 3.050"," 3.400","2.600"
"Network density"," 0.143"," 0.143"," 0.000"," 0.141","0.002"
"Degree average"," 1.857"," 1.857"," 0.000"," 1.832","0.025"
"Degree std.dev."," 1.610"," 1.186"," 0.424"," 1.156","0.455"
"Cluster Coefficient"," 0.643"," 0.121"," 0.522"," 0.086","0.557"
"Avg. Cluster Coefficient"," 0.708"," 0.141"," 0.568"," 0.099","0.609"
"Mean path length"," 9.341"," 6.456"," 2.885"," 6.945","2.396"
"Avg.Betweeness"," 3.143"," 7.839"," 4.696"," 6.164","3.021"
"Max.Betweeness","16.000","28.004","12.004","24.031","8.031"
"Avg.Closeness"," 0.009"," 0.014"," 0.005"," 0.015","0.006"
"Min.Closeness"," 0.005"," 0.006"," 0.000"," 0.006","0.001"
"Avg.Eigencentrality"," 0.412"," 0.417"," 0.005"," 0.402","0.010"
"Network radius"," 0.000"," 0.300"," 0.300"," 0.250","0.250"
"    Avg.Eccentricity"," 2.571"," 3.950"," 1.379"," 3.377","0.805"
"Network diameter"," 5.000"," 5.750"," 0.750"," 5.125","0.125"
