"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes","11.000","11.000","0.000","11.000"," 0.000"
"Number of links","16.000","16.000","0.000","16.200"," 0.200"
"Number of Components"," 1.000"," 1.200","0.200"," 1.300"," 0.300"
"Network density"," 0.291"," 0.291","0.000"," 0.295"," 0.004"
"Degree average"," 2.909"," 2.909","0.000"," 2.945"," 0.036"
"Degree std.dev."," 1.868"," 1.371","0.498"," 1.268"," 0.600"
"Cluster Coefficient"," 0.375"," 0.273","0.102"," 0.256"," 0.119"
"Avg. Cluster Coefficient"," 0.405"," 0.299","0.106"," 0.284"," 0.121"
"Mean path length"," 2.018"," 2.356","0.338"," 2.617"," 0.599"
"Avg.Betweeness"," 5.091"," 4.986","0.105"," 4.905"," 0.186"
"Max.Betweeness","25.167","17.049","8.118","14.778","10.388"
"Avg.Closeness"," 0.052"," 0.047","0.005"," 0.046"," 0.006"
"Min.Closeness"," 0.038"," 0.031","0.007"," 0.032"," 0.006"
"Avg.Eigencentrality"," 0.492"," 0.586","0.094"," 0.584"," 0.092"
"Network radius"," 2.000"," 2.050","0.050"," 1.825"," 0.175"
"    Avg.Eccentricity"," 3.091"," 3.198","0.107"," 3.209"," 0.118"
"Network diameter"," 4.000"," 4.025","0.025"," 4.050"," 0.050"
