"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes","18.000","18.000","0.000","18.000","0.000"
"Number of links","41.000","41.000","0.000","40.075","0.925"
"Number of Components"," 1.000"," 1.050","0.050"," 1.125","0.125"
"Network density"," 0.268"," 0.268","0.000"," 0.262","0.006"
"Degree average"," 4.556"," 4.556","0.000"," 4.453","0.103"
"Degree std.dev."," 2.093"," 1.862","0.230"," 1.820","0.273"
"Cluster Coefficient"," 0.262"," 0.263","0.000"," 0.257","0.006"
"Avg. Cluster Coefficient"," 0.285"," 0.276","0.009"," 0.274","0.011"
"Mean path length"," 1.967"," 2.061","0.094"," 2.204","0.236"
"Avg.Betweeness"," 8.222"," 8.219","0.003"," 8.225","0.003"
"Max.Betweeness","37.623","29.560","8.063","29.120","8.503"
"Avg.Closeness"," 0.030"," 0.030","0.001"," 0.029","0.001"
"Min.Closeness"," 0.024"," 0.021","0.003"," 0.020","0.004"
"Avg.Eigencentrality"," 0.481"," 0.565","0.084"," 0.570","0.089"
"Network radius"," 2.000"," 2.275","0.275"," 2.000","0.000"
"    Avg.Eccentricity"," 3.000"," 3.144","0.144"," 3.117","0.117"
"Network diameter"," 4.000"," 3.875","0.125"," 3.850","0.150"
