"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes","22.000","22.000","0.000","22.000","0.000"
"Number of links","39.000","39.000","0.000","37.950","1.050"
"Number of Components"," 1.000"," 1.300","0.300"," 1.625","0.625"
"Network density"," 0.169"," 0.169","0.000"," 0.164","0.005"
"Degree average"," 3.545"," 3.545","0.000"," 3.450","0.095"
"Degree std.dev."," 0.963"," 1.641","0.678"," 1.703","0.741"
"Cluster Coefficient"," 0.275"," 0.161","0.115"," 0.158","0.117"
"Avg. Cluster Coefficient"," 0.339"," 0.173","0.166"," 0.170","0.169"
"Mean path length"," 2.494"," 3.045","0.552"," 3.561","1.068"
"Avg.Betweeness","15.682","14.580","1.102","14.459","1.223"
"Max.Betweeness","46.383","51.686","5.303","53.536","7.153"
"Avg.Closeness"," 0.019"," 0.018","0.001"," 0.016","0.003"
"Min.Closeness"," 0.016"," 0.010","0.006"," 0.007","0.009"
"Avg.Eigencentrality"," 0.615"," 0.482","0.133"," 0.470","0.145"
"Network radius"," 3.000"," 2.250","0.750"," 1.450","1.550"
"    Avg.Eccentricity"," 4.091"," 3.994","0.097"," 3.931","0.160"
"Network diameter"," 5.000"," 5.050","0.050"," 5.000","0.000"
