"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes"," 24.000"," 24.000"," 0.000"," 24.000"," 0.000"
"Number of links","150.000","150.000"," 0.000","149.700"," 0.300"
"Number of Components","  2.000","  1.000"," 1.000","  1.000"," 1.000"
"Network density","  0.543","  0.543"," 0.000","  0.542"," 0.001"
"Degree average"," 12.500"," 12.500"," 0.000"," 12.475"," 0.025"
"Degree std.dev.","  5.509","  2.536"," 2.973","  2.315"," 3.194"
"Cluster Coefficient","  0.811","  0.551"," 0.260","  0.538"," 0.273"
"Avg. Cluster Coefficient","  0.778","  0.556"," 0.222","  0.542"," 0.236"
"Mean path length","  3.482","  1.457"," 2.025","  1.458"," 2.024"
"Avg.Betweeness","  6.500","  5.256"," 1.244","  5.265"," 1.235"
"Max.Betweeness"," 26.803"," 11.489","15.314"," 10.911","15.892"
"Avg.Closeness","  0.016","  0.030"," 0.014","  0.030"," 0.014"
"Min.Closeness","  0.002","  0.026"," 0.024","  0.026"," 0.024"
"Avg.Eigencentrality","  0.627","  0.736"," 0.110","  0.762"," 0.135"
"Network radius","  0.000","  2.000"," 2.000","  2.000"," 2.000"
"    Avg.Eccentricity","  2.792","  2.011"," 0.780","  2.004"," 0.787"
"Network diameter","  4.000","  2.125"," 1.875","  2.050"," 1.950"
