"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes"," 40.000"," 40.000","0.000"," 40.000"," 0.000"
"Number of links","238.000","239.000","1.000","237.050"," 0.950"
"Number of Components","  1.000","  1.000","0.000","  1.000"," 0.000"
"Network density","  0.305","  0.306","0.001","  0.304"," 0.001"
"Degree average"," 11.900"," 11.950","0.050"," 11.853"," 0.047"
"Degree std.dev.","  4.477","  2.919","1.558","  2.785"," 1.691"
"Cluster Coefficient","  0.409","  0.311","0.098","  0.302"," 0.107"
"Avg. Cluster Coefficient","  0.430","  0.314","0.116","  0.304"," 0.126"
"Mean path length","  1.764","  1.713","0.051","  1.712"," 0.052"
"Avg.Betweeness"," 14.900"," 13.907","0.993"," 13.893"," 1.008"
"Max.Betweeness"," 46.128"," 36.684","9.444"," 35.199","10.929"
"Avg.Closeness","  0.015","  0.015","0.000","  0.015"," 0.000"
"Min.Closeness","  0.010","  0.013","0.003","  0.013"," 0.003"
"Avg.Eigencentrality","  0.583","  0.651","0.068","  0.658"," 0.075"
"Network radius","  2.000","  2.000","0.000","  2.000"," 0.000"
"    Avg.Eccentricity","  2.825","  2.422","0.403","  2.354"," 0.471"
"Network diameter","  4.000","  3.025","0.975","  3.000"," 1.000"
