"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes"," 34.000"," 34.000"," 0.000"," 34.000"," 0.000"
"Number of links","175.000","175.000"," 0.000","171.950"," 3.050"
"Number of Components","  1.000","  1.025"," 0.025","  1.000"," 0.000"
"Network density","  0.312","  0.312"," 0.000","  0.307"," 0.005"
"Degree average"," 10.294"," 10.294"," 0.000"," 10.115"," 0.179"
"Degree std.dev.","  4.629","  2.828"," 1.801","  2.599"," 2.030"
"Cluster Coefficient","  0.476","  0.323"," 0.153","  0.304"," 0.172"
"Avg. Cluster Coefficient","  0.474","  0.324"," 0.150","  0.305"," 0.169"
"Mean path length","  1.807","  1.765"," 0.043","  1.721"," 0.086"
"Avg.Betweeness"," 13.324"," 11.815"," 1.509"," 11.904"," 1.420"
"Max.Betweeness"," 63.291"," 32.040","31.251"," 30.030","33.261"
"Avg.Closeness","  0.017","  0.018"," 0.000","  0.018"," 0.001"
"Min.Closeness","  0.012","  0.015"," 0.003","  0.015"," 0.003"
"Avg.Eigencentrality","  0.527","  0.627"," 0.099","  0.651"," 0.124"
"Network radius","  2.000","  1.950"," 0.050","  2.000"," 0.000"
"    Avg.Eccentricity","  2.882","  2.496"," 0.387","  2.471"," 0.412"
"Network diameter","  4.000","  3.025"," 0.975","  3.000"," 1.000"
