"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes","21.000","21.000","0.000","21.000","0.000"
"Number of links","36.000","36.000","0.000","37.100","1.100"
"Number of Components"," 5.000"," 1.650","3.350"," 1.450","3.550"
"Network density"," 0.171"," 0.171","0.000"," 0.177","0.005"
"Degree average"," 3.429"," 3.429","0.000"," 3.533","0.105"
"Degree std.dev."," 2.135"," 1.655","0.480"," 1.650","0.485"
"Cluster Coefficient"," 0.496"," 0.172","0.324"," 0.167","0.329"
"Avg. Cluster Coefficient"," 0.585"," 0.169","0.416"," 0.176","0.409"
"Mean path length"," 8.976"," 3.560","5.416"," 3.209","5.767"
"Avg.Betweeness"," 9.286","12.957","3.671","13.212","3.926"
"Max.Betweeness","44.667","44.324","0.343","46.145","1.478"
"Avg.Closeness"," 0.007"," 0.017","0.010"," 0.019","0.012"
"Min.Closeness"," 0.002"," 0.009","0.006"," 0.011","0.008"
"Avg.Eigencentrality"," 0.372"," 0.476","0.104"," 0.491","0.119"
"Network radius"," 0.000"," 1.625","1.625"," 1.950","1.950"
"    Avg.Eccentricity"," 3.381"," 3.818","0.437"," 3.824","0.443"
"Network diameter"," 5.000"," 4.950","0.050"," 4.825","0.175"
