"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes","21.000","21.000","0.000","21.000","0.000"
"Number of links","14.000","14.000","0.000","13.850","0.150"
"Number of Components"," 9.000"," 8.100","0.900"," 8.000","1.000"
"Network density"," 0.067"," 0.067","0.000"," 0.066","0.001"
"Degree average"," 1.333"," 1.333","0.000"," 1.319","0.014"
"Degree std.dev."," 1.390"," 1.134","0.256"," 1.064","0.326"
"Cluster Coefficient"," 0.125"," 0.063","0.062"," 0.051","0.074"
"Avg. Cluster Coefficient"," 0.158"," 0.065","0.094"," 0.058","0.101"
"Mean path length","15.843","15.934","0.091","15.203","0.640"
"Avg.Betweeness"," 3.667"," 4.670","1.004"," 6.319","2.652"
"Max.Betweeness","22.500","26.062","3.562","31.867","9.367"
"Avg.Closeness"," 0.003"," 0.003","0.000"," 0.004","0.000"
"Min.Closeness"," 0.002"," 0.002","0.000"," 0.002","0.000"
"Avg.Eigencentrality"," 0.359"," 0.254","0.105"," 0.252","0.107"
"Network radius"," 0.000"," 0.000","0.000"," 0.000","0.000"
"    Avg.Eccentricity"," 2.333"," 2.743","0.410"," 2.933","0.600"
"Network diameter"," 5.000"," 5.450","0.450"," 5.600","0.600"
