"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes"," 56.000"," 56.000","  0.000"," 56.000","  0.000"
"Number of links","203.000","203.000","  0.000","204.775","  1.775"
"Number of Components","  2.000","  1.125","  0.875","  1.075","  0.925"
"Network density","  0.132","  0.132","  0.000","  0.133","  0.001"
"Degree average","  7.250","  7.250","  0.000","  7.313","  0.063"
"Degree std.dev.","  4.179","  2.540","  1.639","  2.466","  1.713"
"Cluster Coefficient","  0.350","  0.135","  0.215","  0.130","  0.220"
"Avg. Cluster Coefficient","  0.424","  0.137","  0.288","  0.131","  0.294"
"Mean path length","  4.285","  2.456","  1.829","  2.354","  1.932"
"Avg.Betweeness"," 36.321"," 33.300","  3.021"," 33.171","  3.150"
"Max.Betweeness","262.141","109.448","152.693","103.510","158.631"
"Avg.Closeness","  0.005","  0.008","  0.003","  0.008","  0.003"
"Min.Closeness","  0.000","  0.006","  0.005","  0.006","  0.006"
"Avg.Eigencentrality","  0.310","  0.508","  0.198","  0.527","  0.217"
"Network radius","  0.000","  2.700","  2.700","  2.775","  2.775"
"    Avg.Eccentricity","  3.661","  3.317","  0.343","  3.320","  0.341"
"Network diameter","  5.000","  4.100","  0.900","  4.075","  0.925"
