"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes"," 56.000"," 56.000"," 0.000"," 56.000"," 0.000"
"Number of links","387.000","387.000"," 0.000","386.850"," 0.150"
"Number of Components","  1.000","  1.000"," 0.000","  1.000"," 0.000"
"Network density","  0.251","  0.251"," 0.000","  0.251"," 0.000"
"Degree average"," 13.821"," 13.821"," 0.000"," 13.816"," 0.005"
"Degree std.dev.","  5.198","  3.352"," 1.846","  3.197"," 2.002"
"Cluster Coefficient","  0.493","  0.258"," 0.235","  0.250"," 0.243"
"Avg. Cluster Coefficient","  0.560","  0.258"," 0.302","  0.251"," 0.309"
"Mean path length","  1.901","  1.772"," 0.129","  1.771"," 0.129"
"Avg.Betweeness"," 24.768"," 21.233"," 3.534"," 21.214"," 3.554"
"Max.Betweeness","116.325"," 57.503","58.823"," 56.976","59.349"
"Avg.Closeness","  0.010","  0.010"," 0.001","  0.010"," 0.001"
"Min.Closeness","  0.008","  0.009"," 0.001","  0.009"," 0.001"
"Avg.Eigencentrality","  0.517","  0.625"," 0.109","  0.635"," 0.118"
"Network radius","  2.000","  2.000"," 0.000","  2.000"," 0.000"
"    Avg.Eccentricity","  2.893","  2.579"," 0.314","  2.563"," 0.329"
"Network diameter","  3.000","  3.000"," 0.000","  3.000"," 0.000"
