"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes"," 71.000"," 71.000"," 0.000"," 71.000"," 0.000"
"Number of links","726.000","726.000"," 0.000","725.825"," 0.175"
"Number of Components","  1.000","  1.000"," 0.000","  1.000"," 0.000"
"Network density","  0.292","  0.292"," 0.000","  0.292"," 0.000"
"Degree average"," 20.451"," 20.451"," 0.000"," 20.446"," 0.005"
"Degree std.dev.","  8.095","  4.140"," 3.956","  3.781"," 4.314"
"Cluster Coefficient","  0.441","  0.298"," 0.142","  0.292"," 0.148"
"Avg. Cluster Coefficient","  0.449","  0.299"," 0.151","  0.293"," 0.157"
"Mean path length","  1.751","  1.710"," 0.041","  1.709"," 0.042"
"Avg.Betweeness"," 26.296"," 24.851"," 1.445"," 24.828"," 1.468"
"Max.Betweeness","106.694"," 58.713","47.981"," 53.784","52.909"
"Avg.Closeness","  0.008","  0.008"," 0.000","  0.008"," 0.000"
"Min.Closeness","  0.006","  0.008"," 0.001","  0.008"," 0.001"
"Avg.Eigencentrality","  0.448","  0.664"," 0.216","  0.688"," 0.240"
"Network radius","  2.000","  2.000"," 0.000","  2.000"," 0.000"
"    Avg.Eccentricity","  2.746","  2.119"," 0.628","  2.084"," 0.662"
"Network diameter","  3.000","  3.000"," 0.000","  2.975"," 0.025"
