"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes","14.000","14.000","0.000","14.000","0.000"
"Number of links","13.000","13.000","0.000","12.875","0.125"
"Number of Components"," 6.000"," 3.350","2.650"," 3.350","2.650"
"Network density"," 0.143"," 0.143","0.000"," 0.141","0.001"
"Degree average"," 1.857"," 1.857","0.000"," 1.839","0.018"
"Degree std.dev."," 1.610"," 1.221","0.390"," 1.127","0.483"
"Cluster Coefficient"," 0.643"," 0.129","0.514"," 0.088","0.555"
"Avg. Cluster Coefficient"," 0.708"," 0.153","0.555"," 0.102","0.607"
"Mean path length"," 9.341"," 7.170","2.171"," 6.749","2.592"
"Avg.Betweeness"," 3.143"," 5.932","2.789"," 6.886","3.743"
"Max.Betweeness","16.000","22.856","6.856","23.896","7.896"
"Avg.Closeness"," 0.009"," 0.013","0.004"," 0.016","0.006"
"Min.Closeness"," 0.005"," 0.006","0.000"," 0.008","0.002"
"Avg.Eigencentrality"," 0.412"," 0.411","0.002"," 0.418","0.006"
"Network radius"," 0.000"," 0.075","0.075"," 0.625","0.625"
"    Avg.Eccentricity"," 2.571"," 3.393","0.821"," 3.559","0.987"
"Network diameter"," 5.000"," 5.100","0.100"," 5.200","0.200"
