"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes","11.000","11.000","0.000","11.000","0.000"
"Number of links","16.000","16.000","0.000","15.875","0.125"
"Number of Components"," 1.000"," 1.300","0.300"," 1.400","0.400"
"Network density"," 0.291"," 0.291","0.000"," 0.289","0.002"
"Degree average"," 2.909"," 2.909","0.000"," 2.886","0.023"
"Degree std.dev."," 1.868"," 1.379","0.489"," 1.354","0.515"
"Cluster Coefficient"," 0.375"," 0.275","0.100"," 0.249","0.126"
"Avg. Cluster Coefficient"," 0.405"," 0.311","0.094"," 0.308","0.096"
"Mean path length"," 2.018"," 2.500","0.482"," 2.728","0.710"
"Avg.Betweeness"," 5.091"," 4.818","0.273"," 4.707","0.384"
"Max.Betweeness","25.167","15.947","9.219","15.572","9.595"
"Avg.Closeness"," 0.052"," 0.045","0.006"," 0.044","0.008"
"Min.Closeness"," 0.038"," 0.030","0.009"," 0.028","0.011"
"Avg.Eigencentrality"," 0.492"," 0.586","0.094"," 0.589","0.096"
"Network radius"," 2.000"," 1.800","0.200"," 1.500","0.500"
"    Avg.Eccentricity"," 3.091"," 3.089","0.002"," 3.109","0.018"
"Network diameter"," 4.000"," 3.825","0.175"," 3.950","0.050"
