"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes","22.000","22.000","0.000","22.000","0.000"
"Number of links","39.000","39.000","0.000","37.575","1.425"
"Number of Components"," 1.000"," 1.275","0.275"," 1.600","0.600"
"Network density"," 0.169"," 0.169","0.000"," 0.163","0.006"
"Degree average"," 3.545"," 3.545","0.000"," 3.416","0.130"
"Degree std.dev."," 0.963"," 1.603","0.640"," 1.614","0.652"
"Cluster Coefficient"," 0.275"," 0.166","0.109"," 0.145","0.131"
"Avg. Cluster Coefficient"," 0.339"," 0.175","0.164"," 0.154","0.185"
"Mean path length"," 2.494"," 2.916","0.423"," 3.525","1.031"
"Avg.Betweeness","15.682","14.633","1.049","14.602","1.080"
"Max.Betweeness","46.383","50.103","3.720","50.758","4.375"
"Avg.Closeness"," 0.019"," 0.018","0.001"," 0.016","0.003"
"Min.Closeness"," 0.016"," 0.011","0.005"," 0.008","0.008"
"Avg.Eigencentrality"," 0.615"," 0.502","0.113"," 0.474","0.141"
"Network radius"," 3.000"," 2.275","0.725"," 1.675","1.325"
"    Avg.Eccentricity"," 4.091"," 3.991","0.100"," 3.968","0.123"
"Network diameter"," 5.000"," 5.050","0.050"," 5.050","0.050"
