"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes","15.000","15.000"," 0.000","15.000"," 0.000"
"Number of links","33.000","34.000"," 1.000","33.925"," 0.925"
"Number of Components"," 1.000"," 1.000"," 0.000"," 1.025"," 0.025"
"Network density"," 0.314"," 0.324"," 0.010"," 0.323"," 0.009"
"Degree average"," 4.400"," 4.533"," 0.133"," 4.523"," 0.123"
"Degree std.dev."," 2.530"," 1.740"," 0.790"," 1.668"," 0.862"
"Cluster Coefficient"," 0.516"," 0.325"," 0.191"," 0.318"," 0.198"
"Avg. Cluster Coefficient"," 0.477"," 0.348"," 0.129"," 0.330"," 0.147"
"Mean path length"," 1.876"," 1.841"," 0.035"," 1.883"," 0.007"
"Avg.Betweeness"," 6.133"," 5.888"," 0.245"," 5.853"," 0.280"
"Max.Betweeness","37.248","20.643","16.605","19.585","17.662"
"Avg.Closeness"," 0.039"," 0.040"," 0.001"," 0.039"," 0.000"
"Min.Closeness"," 0.030"," 0.030"," 0.000"," 0.030"," 0.000"
"Avg.Eigencentrality"," 0.528"," 0.597"," 0.069"," 0.603"," 0.075"
"Network radius"," 2.000"," 2.000"," 0.000"," 2.025"," 0.025"
"    Avg.Eccentricity"," 2.800"," 2.855"," 0.055"," 2.870"," 0.070"
"Network diameter"," 3.000"," 3.300"," 0.300"," 3.475"," 0.475"
