"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes"," 24.000"," 24.000"," 0.000"," 24.000"," 0.000"
"Number of links","150.000","150.000"," 0.000","151.075"," 1.075"
"Number of Components","  2.000","  1.000"," 1.000","  1.000"," 1.000"
"Network density","  0.543","  0.543"," 0.000","  0.547"," 0.004"
"Degree average"," 12.500"," 12.500"," 0.000"," 12.590"," 0.090"
"Degree std.dev.","  5.509","  2.480"," 3.029","  2.314"," 3.195"
"Cluster Coefficient","  0.811","  0.547"," 0.264","  0.545"," 0.266"
"Avg. Cluster Coefficient","  0.778","  0.551"," 0.226","  0.548"," 0.230"
"Mean path length","  3.482","  1.457"," 2.025","  1.453"," 2.029"
"Avg.Betweeness","  6.500","  5.255"," 1.245","  5.207"," 1.293"
"Max.Betweeness"," 26.803"," 11.280","15.524"," 10.669","16.134"
"Avg.Closeness","  0.016","  0.030"," 0.014","  0.030"," 0.014"
"Min.Closeness","  0.002","  0.026"," 0.024","  0.026"," 0.024"
"Avg.Eigencentrality","  0.627","  0.735"," 0.109","  0.756"," 0.129"
"Network radius","  0.000","  2.000"," 2.000","  2.000"," 2.000"
"    Avg.Eccentricity","  2.792","  2.009"," 0.782","  2.004"," 0.787"
"Network diameter","  4.000","  2.100"," 1.900","  2.050"," 1.950"
