"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes"," 34.000","34.000","  0.000","34.000","  0.000"
"Number of links"," 78.000","78.000","  0.000","79.725","  1.725"
"Number of Components","  1.000"," 1.175","  0.175"," 1.250","  0.250"
"Network density","  0.139"," 0.139","  0.000"," 0.142","  0.003"
"Degree average","  4.588"," 4.588","  0.000"," 4.690","  0.101"
"Degree std.dev.","  3.878"," 1.987","  1.891"," 1.963","  1.915"
"Cluster Coefficient","  0.256"," 0.140","  0.115"," 0.134","  0.121"
"Avg. Cluster Coefficient","  0.588"," 0.141","  0.447"," 0.140","  0.448"
"Mean path length","  2.408"," 2.725","  0.317"," 2.841","  0.433"
"Avg.Betweeness"," 23.235","22.881","  0.354","22.397","  0.838"
"Max.Betweeness","231.071","81.644","149.427","76.404","154.667"
"Avg.Closeness","  0.013"," 0.012","  0.001"," 0.012","  0.001"
"Min.Closeness","  0.009"," 0.008","  0.000"," 0.008","  0.001"
"Avg.Eigencentrality","  0.392"," 0.463","  0.071"," 0.475","  0.083"
"Network radius","  3.000"," 2.550","  0.450"," 2.325","  0.675"
"    Avg.Eccentricity","  4.029"," 3.812","  0.218"," 3.773","  0.257"
"Network diameter","  5.000"," 4.750","  0.250"," 4.650","  0.350"
